CompanyId,CompanyCode,CompanyDescription,EmployeeNumber,EmployeeFirstName,EmployeeLastName,EmployeeEmail,EmployeeDepartment,HireDate,ManagerEmployeeNumber
5,Whiskey,Whiskey Description,E196582,Free,Alderman,falderman0@dot.gov,Accounting,,
5,Whiskey,Whiskey Description,E196582,Free,Alderman,falderman0@dot.gov,Accounting,,
3,Zulu,Zulu Description,E173260,Jacinthe,Seczyk,jseczyk1@gizmodo.com,Human Resources,1/11/2021,E143607
2,Delta,Delta Description,E175521,Nicolas,Loos,nloos2@a8.net,Engineering,8/30/2005,E156564
4,Oscar,Oscar Description,E114960,Theresita,Mathiot,tmathiot3@goo.gl,Business Development,12/11/2012,E104715
4,Oscar,Oscar Description,E154343,Jens,Aldous,jaldous4@ihg.com,Sales,9/28/2020,E118013
2,Delta,Delta Description,E103708,Kristo,Sudy,ksudy5@state.tx.us,Legal,5/25/2014,E158094
5,Whiskey,Whiskey Description,E166295,Tedra,Hinemoor,thinemoor6@chicagotribune.com,Services,4/6/2006,E107311
8,India,India Description,E161105,Sileas,Toma,stoma7@hugedomains.com,Engineering,6/9/2009,
10,Alpha,Alpha Description,E108990,Ferdinand,Ambrozik,fambrozik8@myspace.com,Research and Development,2/26/2013,E166283
1,Tango,Tango Description,E134945,Ewart,Gittus,egittus9@who.int,Legal,9/9/2017,E179269
7,Charlie,Charlie Description,E169656,Kathe,Pymm,kpymma@canalblog.com,Training,10/1/2018,E131718
10,Alpha,Alpha Description,E127130,Anallese,Clarey,aclareyb@symantec.com,Services,11/16/2010,E149093
4,Oscar,Oscar Description,E190180,Tarra,Necrews,tnecrewsc@slideshare.net,Marketing,4/3/2015,E167057
1,Tango,Tango Description,E133358,Odell,Bouldstridge,obouldstridged@princeton.edu,Services,,E179269
7,Charlie,Charlie Description,E100278,Donalt,Waycott,dwaycotte@icq.com,Services,1/11/2016,E136465
3,Zulu,Zulu Description,E158915,Ashbey,Mariaud,amariaudf@smh.com.au,Research and Development,,E132218
8,India,India Description,E182458,Reggie,Charlton,rcharltong@nytimes.com,Human Resources,4/1/2014,E125026
10,Alpha,Alpha Description,E197786,Moyra,Byllam,mbyllamh@salon.com,Training,7/26/2009,
3,Zulu,Zulu Description,E194213,Levin,Coleborn,lcoleborni@webeden.co.uk,Accounting,7/13/2012,E130004
3,Zulu,Zulu Description,E132218,Marillin,Giorio,mgiorioj@ebay.com,Support,12/24/2004,E100830
8,India,India Description,E179587,Brittaney,Symon,bsymonk@nifty.com,Human Resources,10/3/2001,E129626
2,Delta,Delta Description,E195654,Boyce,Baskerville,bbaskervillel@cnet.com,Sales,,E137656
2,Delta,Delta Description,E196849,Roselia,Preto,rpretom@ning.com,Product Management,2/14/2001,E137656
8,India,India Description,E154665,Cary,Seeger,cseegern@tinyurl.com,Engineering,12/25/2013,E185758
2,Delta,Delta Description,E143588,Dougy,Meates,dmeateso@buzzfeed.com,Support,6/19/2008,
9,Kilo,Kilo Description,E142749,Courtney,Perrelli,cperrellip@ebay.co.uk,Training,8/21/2021,E128558
5,Whiskey,Whiskey Description,E197232,Nerty,Daelman,ndaelmanq@hexun.com,Services,7/1/2019,E186427
